"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Area
Fiji,64019.0,12.0,834.0,,62130.0,80.0,1055.0,,70561.0,919.0,497869.0,548746.0,907285.0,Australia/Oceania
Madagascar,63659.0,,1366.0,,58677.0,,3616.0,61.0,2204.0,47.0,398434.0,13797.0,28877744.0,Africa
Guyana,63024.0,22.0,1223.0,,61473.0,28.0,328.0,5.0,79487.0,1542.0,543927.0,686009.0,792886.0,South America
Sudan,61569.0,15.0,3912.0,1.0,40329.0,,17328.0,,1351.0,86.0,562941.0,12357.0,45556244.0,Africa
Mauritania,58645.0,5.0,980.0,,57628.0,10.0,37.0,30.0,12083.0,202.0,750363.0,154606.0,4853391.0,Africa
Belize,56876.0,34.0,651.0,,55227.0,120.0,998.0,6.0,138835.0,1589.0,505691.0,1234395.0,409667.0,North America
New Caledonia,56833.0,645.0,302.0,1.0,50063.0,1816.0,6468.0,21.0,195923.0,1041.0,98964.0,341163.0,290078.0,Australia/Oceania
Cabo Verde,55890.0,1.0,401.0,,55429.0,6.0,60.0,23.0,98735.0,708.0,400982.0,708370.0,566063.0,Africa
Barbados,55863.0,158.0,316.0,,53869.0,225.0,1678.0,,193994.0,1097.0,589703.0,2047850.0,287962.0,North America
Syria,54894.0,72.0,3089.0,4.0,47902.0,187.0,3903.0,,3015.0,170.0,146269.0,8033.0,18209433.0,Asia
Channel Islands,53230.0,316.0,145.0,1.0,49786.0,260.0,3299.0,,301523.0,821.0,1214932.0,6882025.0,176537.0,Europe
Gabon,47543.0,,303.0,,46561.0,,679.0,1.0,20552.0,131.0,1571354.0,679271.0,2313296.0,Africa
Papua New Guinea,41421.0,,638.0,,39905.0,,878.0,7.0,4488.0,69.0,249149.0,26994.0,9229677.0,Australia/Oceania
Seychelles,39403.0,,163.0,,38923.0,,317.0,,396556.0,1640.0,,,99363.0,Africa
Curaçao,39133.0,51.0,264.0,2.0,38533.0,26.0,336.0,3.0,236864.0,1598.0,494095.0,2990654.0,165213.0,North America
Andorra,38434.0,92.0,151.0,,37606.0,86.0,677.0,14.0,496108.0,1949.0,249838.0,3224923.0,77471.0,Europe
Burundi,38134.0,,38.0,,773.0,,37323.0,,3055.0,3.0,345742.0,27701.0,12481001.0,Africa
Togo,36815.0,3.0,272.0,,36421.0,3.0,122.0,,4280.0,32.0,693741.0,80647.0,8602226.0,Africa
Mayotte,36703.0,41.0,187.0,,2964.0,,33552.0,,129332.0,659.0,176919.0,623417.0,283789.0,Africa
Guinea,36397.0,,440.0,,32939.0,,3018.0,49.0,2652.0,32.0,587607.0,42808.0,13726577.0,Africa
Faeroe Islands,34237.0,,28.0,,7693.0,,26516.0,5.0,696256.0,569.0,778000.0,15821691.0,49173.0,Europe
Aruba,33732.0,48.0,212.0,1.0,33462.0,44.0,58.0,7.0,313719.0,1972.0,177885.0,1654390.0,107523.0,North America
Tanzania,33620.0,,798.0,,,,,7.0,537.0,13.0,,,62570078.0,Africa
Bahamas,33169.0,17.0,771.0,,31963.0,16.0,435.0,9.0,83023.0,1930.0,222122.0,555981.0,399514.0,North America
Lesotho,32707.0,,697.0,,23437.0,,8573.0,,15068.0,321.0,403174.0,185744.0,2170587.0,Africa
Mauritius,32431.0,277.0,786.0,,28637.0,75.0,3008.0,,25430.0,616.0,358675.0,281250.0,1275290.0,Africa
Mali,30396.0,4.0,724.0,,29542.0,7.0,130.0,,1432.0,34.0,625403.0,29468.0,21223001.0,Africa
Haiti,30382.0,29.0,820.0,,25485.0,227.0,4077.0,,2611.0,70.0,132422.0,11382.0,11634441.0,North America
Benin,26575.0,,163.0,,25506.0,,906.0,5.0,2100.0,13.0,604310.0,47762.0,12652533.0,Africa
Somalia,26351.0,,1348.0,,13182.0,,11821.0,,1584.0,81.0,400466.0,24078.0,16632297.0,Africa
Congo,24020.0,,378.0,,20178.0,,3464.0,,4181.0,66.0,347815.0,60547.0,5744523.0,Africa
Isle of Man,23328.0,97.0,79.0,,22607.0,55.0,642.0,,271939.0,921.0,150753.0,1757356.0,85784.0,Europe
Timor-Leste,22736.0,,129.0,,22291.0,,316.0,9.0,16714.0,95.0,248770.0,182875.0,1360325.0,Asia
Saint Lucia,22733.0,,360.0,,22280.0,,93.0,3.0,122862.0,1946.0,136343.0,736878.0,185028.0,North America
Burkina Faso,20751.0,,375.0,,20309.0,,67.0,,949.0,17.0,248995.0,11391.0,21858691.0,Africa
Taiwan,20717.0,64.0,853.0,,18662.0,60.0,1202.0,,867.0,36.0,11743126.0,491576.0,23888719.0,Asia
Cayman Islands,19373.0,,17.0,,8553.0,,10803.0,2.0,289106.0,254.0,222773.0,3324474.0,67010.0,North America
Nicaragua,18105.0,,221.0,,4225.0,,13659.0,,2680.0,33.0,,,6756053.0,North America
Tajikistan,17388.0,,124.0,,17263.0,,1.0,,1757.0,13.0,,,9894835.0,Asia
South Sudan,16999.0,6.0,137.0,,13271.0,,3591.0,1.0,1489.0,12.0,342501.0,30011.0,11412685.0,Africa
Equatorial Guinea,15885.0,,183.0,,15664.0,,38.0,5.0,10735.0,124.0,273437.0,184781.0,1479790.0,Africa
Gibraltar,15609.0,36.0,101.0,,15028.0,55.0,480.0,10.0,463533.0,2999.0,517725.0,15374621.0,33674.0,Europe
Djibouti,15550.0,1.0,189.0,,15359.0,2.0,2.0,,15366.0,187.0,286712.0,283321.0,1011968.0,Africa
San Marino,14369.0,,112.0,,13994.0,,263.0,4.0,421997.0,3289.0,136485.0,4008370.0,34050.0,Europe
CAR,14320.0,95.0,113.0,,6859.0,,7348.0,2.0,2881.0,23.0,81294.0,16358.0,4969828.0,Africa
Bhutan,14120.0,274.0,6.0,,10071.0,431.0,4043.0,3.0,17969.0,8.0,2003534.0,2549726.0,785784.0,Asia
Grenada,13690.0,,216.0,,13336.0,,138.0,4.0,120731.0,1905.0,136411.0,1202993.0,113393.0,North America
Liechtenstein,12681.0,362.0,78.0,,11863.0,93.0,740.0,6.0,331002.0,2036.0,80413.0,2098953.0,38311.0,Europe
Gambia,11939.0,,365.0,,11559.0,,15.0,4.0,4719.0,144.0,137657.0,54413.0,2529832.0,Africa
Greenland,11806.0,28.0,20.0,2.0,2761.0,,9025.0,4.0,207363.0,351.0,164926.0,2896793.0,56934.0,North America
Yemen,11774.0,2.0,2135.0,,8706.0,10.0,933.0,23.0,381.0,69.0,265253.0,8578.0,30921290.0,Asia
Bermuda,11634.0,,123.0,,11338.0,,173.0,,187967.0,1987.0,805308.0,13011083.0,61894.0,North America
Dominica,11248.0,100.0,61.0,,10918.0,37.0,269.0,,155608.0,844.0,169712.0,2347850.0,72284.0,North America
Saint Martin,9912.0,,63.0,,1399.0,,8450.0,7.0,249258.0,1584.0,112382.0,2826083.0,39766.0,North America
Eritrea,9708.0,1.0,103.0,,9603.0,3.0,2.0,,2676.0,28.0,23693.0,6530.0,3628305.0,Africa
Sint Maarten,9573.0,3.0,85.0,,9446.0,8.0,42.0,10.0,219122.0,1946.0,62056.0,1420436.0,43688.0,North America
Monaco,9520.0,20.0,51.0,,9299.0,35.0,170.0,4.0,239762.0,1284.0,54960.0,1384174.0,39706.0,Europe
Niger,8760.0,,307.0,,8435.0,,18.0,1.0,341.0,12.0,229438.0,8939.0,25666452.0,Africa
Comoros,8033.0,,160.0,,7855.0,,18.0,,8921.0,178.0,,,900490.0,Africa
Guinea-Bissau,8027.0,,167.0,,7018.0,,842.0,6.0,3924.0,82.0,124624.0,60924.0,2045551.0,Africa
Sierra Leone,7665.0,,125.0,,,,,,929.0,15.0,259958.0,31520.0,8247500.0,Africa
Caribbean Netherlands,7609.0,4.0,31.0,,7545.0,,33.0,,285730.0,1164.0,30126.0,1131281.0,26630.0,North America
Antigua and Barbuda,7449.0,,135.0,,7284.0,,30.0,1.0,75029.0,1360.0,18901.0,190377.0,99282.0,North America
